"k","a","c","b","PageRank"
8,"十里河站",0.0730067243035543,1121.1420995671,0.00450810217005535
8,"分钟寺站",0.0717206668763762,1060.30876623377,0.00463018528075189
8,"成寿寺站",0.0719242902208202,1100.7,0.00473395592484395
1,"宋家庄站",0.0757475083056478,3915.2579004329,0.0048221609723222
1,"石榴庄站",0.0742429176164116,1707.03333333333,0.00216457737836281
1,"大红门站",0.07421875,1705.03333333334,0.00263818920781323
1,"角门东站",0.0747051114023591,1724.36666666667,0.00304075926284609
5,"角门西站",0.0766129032258065,4206.1,0.0071259894665147
1,"草桥站",0.0732883317261331,1739.93333333333,0.00382684395947359
1,"纪家庙站",0.0706976744186047,1622.93333333333,0.00405111580175741
1,"首经贸站",0.0693219823654606,1559.76666666667,0.00424174686769864
1,"丰台站",0.069618320610687,1578.76666666667,0.0044037832737487
1,"泥洼站",0.07125,1665.1,0.00454151421889125
5,"西直门站",0.0992167101827676,7113.79660894662,0.00593513895696155
3,"大钟寺站",0.0939818631492168,3841.39855699856,0.00247992114067729
3,"五道口站",0.084663943557371,2447.80808080808,0.00340354541920028
1,"上地站",0.0801405975395431,2299.05808080808,0.00369131204252509
2,"西二旗站",0.0766129032258065,2458.64141414141,0.00675349688912514
2,"龙泽站",0.0743397456798174,1331.11111111111,0.00653877079196122
2,"回龙观站",0.0740740740740741,1310.16414141414,0.00635625360937188
2,"霍营站",0.0741463414634146,1766.01414141414,0.00687966767494507
2,"立水桥站",0.0740981475463113,1897.64747474747,0.0078080985826203
1,"北苑站",0.075,1506.10303030303,0.00411674033381846
1,"望京西站",0.079221681723419,3962.19191919192,0.00429752771995055
3,"光熙门站",0.0860702151755379,1359.61118326118,0.00347998376612662
3,"柳芳站",0.0898699251083957,1468.61118326118,0.00375628463741247
1,"望京站",0.073953940966591,2387,0.00262474771718382
1,"望京东站",0.0693009118541034,2180,0.0030293339958111
1,"崔各庄站",0.0651614747070592,1971,0.00337323233264427
6,"马泉营站",0.061455525606469,1760,0.00366554591895248
6,"孙河站",0.0581187866428753,1547,0.00391401246731446
6,"国展站",0.055099081681972,1332,0.00412520903342214
6,"花梨坎站",0.052353616532721,1115,0.00430472611461366
4,"后沙峪站",0.04984696108439,896,0.00445731563362646
4,"南法信站",0.0475495307612096,675,0.00458701672478733
4,"石门站",0.045436428856118,452,0.00469726265227409
4,"顺义站",0.0434865534999046,227,0.00479097169063781
7,"苹果园站",0.0534583821805393,0,0.000798298436204846
7,"古城站",0.0564635958395245,227,0.00147685210697897
7,"八角游乐园站",0.0597954366640441,452,0.00205362272713697
7,"八宝山站",0.0635097493036212,675,0.00254387775427127
8,"玉泉路站",0.0676758682101514,896,0.00296059452733543
8,"五棵松站",0.0723809523809524,1115,0.00331480378443996
8,"万寿路站",0.0777361063757245,1332,0.00361588165297882
5,"军事博物馆站",0.0871226595338173,4939.63333333334,0.00645103916959741
3,"木樨地站",0.0884063590538969,1922.43333333333,0.00353999008328375
3,"南礼士路站",0.0924949290060852,2039.93333333333,0.00380729000699604
5,"复兴门站",0.0979381443298969,4124.82193362194,0.00728703528625773
2,"西单站",0.097228144989339,2718.97128427128,0.00694419830767716
3,"天安门西站",0.0946843853820598,1252.30952380952,0.00374958271696764
3,"天安门东站",0.0939044481054366,1232.97619047619,0.00398544374562734
3,"王府井站",0.0939431396786156,1235,0.00418592561998808
2,"东单站",0.0969387755102041,3288.92748917749,0.00729102810903015
5,"建国门站",0.096897577560561,5684.09693362194,0.00706658936954327
3,"永安里站",0.0902612826603325,2850.25854978355,0.00380159891826074
1,"大望路站",0.080338266384778,2795,0.00399670986023754
1,"四惠站",0.0749753370601776,2592,0.00419550181740676
3,"积水潭站",0.0951585976627713,2936.27424242425,0.00247992114067729
